created_date,initial_deposit,withdrawable_balance,equity,margin,margin_percent,num_live_positions,amount_in_trade,unrealized_pnl
2023-04-23T20:53:05.490701,5700,4998.79,5667.47,668.6800000000003,11.8,17,7141.0,-116.0
2023-04-23T21:53:05.742193,5700,4998.19,5666.01,667.8200000000006,11.79,17,7141.0,-116.0
2023-04-23T22:53:05.811297,5700,4996.07,5670.05,673.9800000000005,11.89,17,7141.0,-114.0
2023-04-23T23:53:05.116828,5700,4995.07,5669.66,674.5900000000001,11.9,17,7141.0,-109.0
2023-04-24T00:53:05.259007,5700,4992.65,5668.0,675.3500000000004,11.92,17,7141.0,-114.0
2023-04-24T01:53:05.646502,5700,4986.43,5668.21,681.7799999999997,12.03,17,7141.0,-114.0
2023-04-24T02:53:05.933545,5700,4989.21,5666.83,677.6199999999999,11.96,17,7141.0,-115.0
2023-04-24T03:53:05.088766,5700,4996.06,5672.06,676.0,11.92,17,7141.0,-110.0
2023-04-24T04:53:05.153421,5700,4994.27,5669.68,675.4099999999999,11.91,17,7141.0,-116.0
2023-04-24T05:53:05.902264,5700,5000.79,5674.36,673.5699999999997,11.87,17,7141.0,-107.0
2023-04-24T06:53:06.047098,5700,5001.65,5672.15,670.5,11.82,17,7141.0,-109.0
2023-04-24T07:53:05.471073,5700,5006.6,5675.69,669.0899999999992,11.79,17,7141.0,-107.0
2023-04-24T08:53:05.165809,5700,5007.07,5672.12,665.0500000000002,11.72,17,7141.0,-111.0
2023-04-24T09:53:05.689839,5700,4996.22,5664.49,668.2699999999995,11.8,17,7141.0,-118.0
