now_timestamp,created_timestamp,balance,created_date,created_time,order_id,pair_id,pair_status,market,side,type,price,size,fee,amount
2023-04-07 00:33:24.270689,2023-03-18 11:06:21.276,5489.57,18/03/2023,11:06:21,6ce4de28e0142253b36bac47e3879bcb29af7f57e1ba2ca67a80fc4bbb8ef17,,,ADA-USD,BUY,MARKET,0.355,700.0,0.124,248.624
2023-04-07 00:33:24.270689,2023-03-18 12:27:09.190,5489.57,18/03/2023,12:27:09,6f8ba7b8578b84f329bc973f7929138d1b3d8e65231a889d2744be1c7cab482,,,FIL-USD,SELL,MARKET,6.33,39.4,0.124,-249.526
2023-04-07 00:33:24.270689,2023-03-18 11:25:43.549,5489.57,18/03/2023,11:25:43,70a4d7136d74cc7bbcd2ad8a46eba94e57e4c688c9d7d7e6fbf14910faf94d9,,,ADA-USD,SELL,MARKET,0.354,700.0,0.124,-247.924
2023-04-07 00:33:24.270689,2023-03-18 14:16:10.247,5489.57,18/03/2023,14:16:10,70ed551fe82b4549603fbe8754feb49a0ee4504c09166ecaf8dc8689764dc80,,,COMP-USD,BUY,MARKET,47.5,5.27,0.125,250.45
2023-04-07 00:33:24.270689,2023-03-18 11:38:21.922,5489.57,18/03/2023,11:38:21,710a7fc51f299d985227764ec4720b28553f7901ba49f94842c0bd24b98ecf6,82f09c1f-cf3,OPEN,COMP-USD,SELL,MARKET,47.3,5.27,0.125,-249.396
2023-04-07 00:33:24.270689,2023-03-18 11:54:01.232,5489.57,18/03/2023,11:54:01,08fb24de4911ef8d7fb708c568b0da2632ce08ab0f981b6d7f338d40c167cb9,,,UMA-USD,BUY,MARKET,2.15,116.8,0.126,251.246
2023-04-07 00:33:24.270689,2023-03-18 14:46:16.894,5489.57,18/03/2023,14:46:16,72cc0bfcf6c01da61420f64651dbb7773c29232c763c1bfe10487e369720596,,,FIL-USD,BUY,MARKET,6.29,39.7,0.125,249.838
2023-04-07 00:33:24.270689,2023-03-18 14:46:38.119,5489.57,18/03/2023,14:46:38,748ed36a9d1a07ddb1ffdf142457af3bf8d86539d381eedfc467537336af03c,,,1INCH-USD,SELL,MARKET,0.536,400.0,0.107,-214.507
2023-04-07 00:33:24.270689,2023-03-18 13:51:14.450,5489.57,18/03/2023,13:51:14,75432c5a4b1dd635f7532b14771f3b9914be45693f799475873d545555aeac6,,,FIL-USD,BUY,MARKET,6.34,39.5,0.125,250.555
2023-04-07 00:33:24.270689,2023-03-18 11:40:32.198,5489.57,18/03/2023,11:40:32,76f485606dbdd30711016816a29c93e17f35ae67adbe69bcf3f5e066503b4d9,,,ADA-USD,BUY,MARKET,0.357,700.0,0.125,250.025
